Plot,Subplot,Plant,Seeds_GF,Fruit_GF,visits_GF,ID,homo_motif,hete_motif,Real_PR_Multi,Real_PR_Layer,StrengthIn,StrengthOut,DegreeIn,DegreeOut,Delta,Ratio
9,E6,LEMA,348,6,8,Brassicogethes_sp,29,1,0.007620531718915808,0.013089014900159866,0.7202380952380952,1,3,3,-0.0054684831812440585,0.582208193438815
9,E6,LEMA,348,6,1,Lasioglossum_malachurum,0,0,0.007620531718915808,0.013089014900159866,0.7202380952380952,1,3,3,-0.0054684831812440585,0.582208193438815
9,E6,LEMA,348,6,1,Sphaerophoria_scripta,2,0,0.007620531718915808,0.013089014900159866,0.7202380952380952,1,3,3,-0.0054684831812440585,0.582208193438815
9,F1,CHFU,225,5,1,Musca_sp,2,0,0.0036734405195420765,0.0040812128750982906,0.25757575757575757,1,2,2,-4.0777235555621407e-4,0.9000854971216385
9,F1,CHFU,225,5,1,Ulidiidae,0,0,0.0036734405195420765,0.0040812128750982906,0.25757575757575757,1,2,2,-4.0777235555621407e-4,0.9000854971216385
9,F1,LEMA,174,3,1,Oedemeridae,1,0,0.002944951642123831,0.0030620255448654313,0.25,1,1,1,-1.1707390274160031e-4,0.9617658634697166
9,F2,CHFU,32,1,1,Andrena_sp,5,0,0.0018360905780342913,0.002487411725111849,0.03571428571428571,1,1,1,-6.513211470775579e-4,0.7381530606686071
9,F3,CHFU,64,2,1,Andrena_sp,5,0,0.0018360905780342915,0.002487411725111849,0.03571428571428571,1,1,1,-6.513211470775577e-4,0.7381530606686071
9,F4,CHFU,64,2,4,Musca_sp,2,0,0.010805758817005563,0.010168295137247948,1.18,1,3,3,6.374636797576144e-4,1.0626913038177355
9,F4,CHFU,64,2,1,Psilothrix_viridicoerulea,10,0,0.010805758817005563,0.010168295137247948,1.18,1,3,3,6.374636797576144e-4,1.0626913038177355
9,F4,CHFU,64,2,1,Syrphidae,1,0,0.010805758817005563,0.010168295137247948,1.18,1,3,3,6.374636797576144e-4,1.0626913038177355
9,F5,CHFU,160,5,2,Andrena_argentata,2,0,0.010446034391714357,0.017216941170204145,1.19982683982684,1,5,5,-0.006770906778489788,0.6067299811532373
9,F5,CHFU,160,5,4,Andrena_sp,9,0,0.010446034391714357,0.017216941170204145,1.19982683982684,1,5,5,-0.006770906778489788,0.6067299811532373
9,F5,CHFU,160,5,1,Musca_sp,2,0,0.010446034391714357,0.017216941170204145,1.19982683982684,1,5,5,-0.006770906778489788,0.6067299811532373
9,F5,CHFU,160,5,2,Psilothrix_viridicoerulea,24,1,0.010446034391714357,0.017216941170204145,1.19982683982684,1,5,5,-0.006770906778489788,0.6067299811532373
9,F5,CHFU,160,5,4,Ulidiidae,3,0,0.010446034391714357,0.017216941170204145,1.19982683982684,1,5,5,-0.006770906778489788,0.6067299811532373
9,F6,CHFU,1242,18,1,Andrena_humilis,2,0,0.009447618598519586,0.013414048873915379,2.4166233766233765,1,6,6,-0.003966430275395793,0.704307751322659
9,F6,CHFU,1242,18,1,Andrena_sp,5,0,0.009447618598519586,0.013414048873915379,2.4166233766233765,1,6,6,-0.003966430275395793,0.704307751322659
9,F6,CHFU,1242,18,1,Cylindromyia_sp,0,0,0.009447618598519586,0.013414048873915379,2.4166233766233765,1,6,6,-0.003966430275395793,0.704307751322659
9,F6,CHFU,1242,18,1,Eristalis_sp,0,0,0.009447618598519586,0.013414048873915379,2.4166233766233765,1,6,6,-0.003966430275395793,0.704307751322659
9,F6,CHFU,1242,18,3,Psilothrix_viridicoerulea,24,1,0.009447618598519586,0.013414048873915379,2.4166233766233765,1,6,6,-0.003966430275395793,0.704307751322659
9,F6,CHFU,1242,18,1,Ulidiidae,3,0,0.009447618598519586,0.013414048873915379,2.4166233766233765,1,6,6,-0.003966430275395793,0.704307751322659
9,F6,LEMA,580,10,4,Brassicogethes_sp,36,1,0.0034266130313386077,0.006918799539671827,0.17261904761904762,1,2,2,-0.0034921865083332193,0.49526120993832684
9,F6,LEMA,580,10,1,Sphaerophoria_scripta,2,0,0.0034266130313386077,0.006918799539671827,0.17261904761904762,1,2,2,-0.0034921865083332193,0.49526120993832684
1,A1,BEMA,208,52,0,None,0,0,0,0,0,0,0,0,0,1
1,A1,CETE,3108,28,0,None,0,0,0,0,0,0,0,0,0,1
1,A1,PUPA,480,12,0,None,0,0,0,0,0,0,0,0,0,1
1,A1,SOAS,165,3,0,None,0,0,0,0,0,0,0,0,0,1
1,A2,BEMA,412,103,0,None,0,0,0,0,0,0,0,0,0,1
1,A2,SOAS,660,12,0,None,0,0,0,0,0,0,0,0,0,1
1,A3,BEMA,1000,250,0,None,0,0,0,0,0,0,0,0,0,1
1,A3,CHFU,1216,38,0,None,0,0,0,0,0,0,0,0,0,1
